HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-683	Simonsiella	muelleri	72
HMT-684	Mitsuokella	multacida	52226
HMT-685	Prevotella	multiformis	282402
HMT-686	Streptococcus	mutans	1309
HMT-688	Actinomyces	viscosus	1656
HMT-689	Fusobacterium	naviforme	77917
HMT-690	Fusobacterium	necrophorum	859
HMT-691	Mogibacterium	neglectum	114528
HMT-692	Mycolicibacterium	neoaurum	1795
HMT-693	Prevotella	nigrescens	28133
HMT-694	Hornefia	nodatum	186804
HMT-698	Fusobacterium	nucleatum_sensu_stricto	76856
HMT-700	Capnocytophaga	ochracea	1018
HMT-701	Schaalia	odontolytica	1660
HMT-703	Desulfomicrobium	orale	132132
HMT-704	Metamycoplasma	orale	2121
HMT-705	Hoylesella	oralis	28134
HMT-706	Kingella	oralis	505
HMT-707	Streptococcus	oralis	1303
HMT-708	Actinomyces	oricola	206043
HMT-709	Limosilactobacillus	oris	1632
HMT-710	Schaalia	dentiphila	0
HMT-711	Moraxella	osloensis	34062
HMT-714	Prevotella	pallens	60133
HMT-716	Lacticaseibacillus	paracasei	1597
HMT-717	Variovorax	paradoxus	34073
HMT-718	Haemophilus	parainfluenzae	729
HMT-723	Lancefieldella	parvula	1382
HMT-724	Treponema	parvum	138851
HMT-725	Treponema	pectinovorum	164
HMT-726	Centipeda	periodontii	82203
HMT-728	Streptococcus	peroris	68891
HMT-731	Klebsiella	pneumoniae	573
HMT-732	Mycoplasmoides	pneumoniae	2104
HMT-733	Chlamydia	pneumoniae	83558
HMT-734	Streptococcus	pneumoniae	1313
HMT-736	Dialister	pneumosintes	39950
HMT-737	Neisseria	polysaccharea	489
HMT-738	Anaerococcus	prevotii	33034
HMT-739	Arachnia	propionica	1750
HMT-740	Pseudomonas	oleovorans	330
HMT-742	Mogibacterium	pumilum	86332
HMT-743	Treponema	putidum	221027
HMT-745	Streptococcus	pyogenes	1314
HMT-746	Actinomyces	radicidentis	111015
HMT-747	Erythrobacter	ramosus	35811
HMT-748	Campylobacter	rectus	203
HMT-749	Lacticaseibacillus	rhamnosus	47715
HMT-750	Lancefieldella	rimae	1383
HMT-753	Cronobacter	sakazakii	28141
HMT-754	Metamycoplasma	salivarium	2124
HMT-755	Streptococcus	salivarius	1304
HMT-756	Ligilactobacillus	salivarius	1624
HMT-757	Gemella	sanguinis	84135
HMT-758	Streptococcus	sanguinis	1305
HMT-759	Anaerovoracaceae [G5]	saphenum	186804
HMT-762	Aggregatibacter	segnis	739
HMT-763	Campylobacter	showae	204
HMT-764	Neisseria	sicca	490
HMT-767	Streptococcus	sinensis	176090
HMT-768	Streptococcus	sobrinus	1310
HMT-769	Treponema	socranskii	53419
HMT-775	Capnocytophaga	sputigena	1019
HMT-776	Campylobacter	sputorum	206
HMT-777	Jonquetella	anthropi	428712
HMT-779	Veillonella	sp. HMT-779	0
HMT-780	Veillonella	sp. HMT-780	671229
HMT-781	Hoylesella	saccharolytica	633701
HMT-782	Prevotella	fusca	589436
HMT-783	Corynebacterium	kefirresidentii	0
HMT-784	Peptoniphilus	lacydonensis	0
HMT-785	Porphyromonas	uenonis	281920
HMT-786	Paenibacillus	phoenicis	554117
HMT-787	Bacteroides	pyogenes	310300
HMT-788	Anaerococcus	tetradius	33036
HMT-789	Staphylococcus	saccharolyticus	0
HMT-790	Peptoniphilaceae [G2]	bacterium HMT-790	1570339
HMT-791	Cutibacterium	namnetense	0
HMT-792	Anaerococcus	nagyae	0
HMT-794	Hallella	multisaccharivorax	310514
HMT-795	Hoylesella	shahii	228603
HMT-796	Peptoanaerobacter	margaretiae	0
HMT-797	Prevotella	amnii	0
HMT-798	Prevotella	timonensis	0
HMT-799	Ureaplasma	parvum	0
HMT-801	Enterococcus	casseliflavus	37734
HMT-802	Enterococcus	saccharolyticus	41997
HMT-803	Enterococcus	italicus	246144
HMT-804	Lactococcus	lactis	1358
HMT-805	Treponema	pallidum	160
HMT-806	Olsenella	profusa	138595
HMT-807	Olsenella	sp. HMT-807	712411
HMT-808	Tannerella	sp. HMT-808	712711
HMT-809	Olsenella	phocaeensis	661086
HMT-810	Olegusella	massiliensis	1776381
HMT-811	Arcanobacterium	haemolyticum	28264
HMT-812	Helicobacter	pylori	210
HMT-813	Dolosigranulum	pigrum	29394
HMT-814	Fannyhessea	vaginae	82135
HMT-815	Methanobrevibacter	oralis	66851
HMT-816	Limosilactobacillus	coleohominis	181675
HMT-817	Lactobacillus	crispatus	47770
HMT-818	Limosilactobacillus	reuteri	1598
HMT-819	Lactobacillus	johnsonii	33959
HMT-820	Prevotella	illustrans	838
HMT-821	Haemophilus	ducreyi	730
HMT-822	Mycobacterium	tuberculosis	1773
HMT-823	Mycobacterium	leprae	1769
HMT-824	Bacillus	anthracis	1392
HMT-825	Listeria	monocytogenes	1639
HMT-827	Yersinia	pestis	632
HMT-828	Bordetella	pertussis	520
HMT-829	Gardnerella	vaginalis	2702
HMT-830	Mobiluncus	mulieris	2052
HMT-831	Alloiococcus	otitis	1652
HMT-832	Corynebacterium	otitidis	29321
HMT-833	Moraxella	catarrhalis	480
HMT-834	Pseudomonas	otitidis	319939
HMT-835	Corynebacterium	mucifaciens	57171
HMT-836	Peptoniphilus	lacrimalis	33031
HMT-837	Sneathia	sanguinegens	40543
HMT-838	Lactobacillus	iners	147802
HMT-839	Lactobacillus	jensenii	109790
HMT-840	Peptoniphilus	indolicus	33030
HMT-841	Megasphaera	lornae	906
HMT-842	Campylobacter	ureolyticus	827
HMT-843	Dialister	micraerophilus	309120
HMT-844	Sneathia	vaginalis	187101
HMT-845	Pseudoleptotrichia	goodfellowii	157692
HMT-846	Gardnerella	piotii	0
HMT-847	Leptotrichia	sp. HMT-847	1785996
HMT-848	Peptidiphaga	gingivicola	1823756
HMT-849	Actinomyces	johnsonii	544581
HMT-850	Schaalia	cardiffensis	181487
HMT-851	Haemophilus	haemolyticus	726
HMT-852	Actinomyces	massiliensis	461393
HMT-853	Corynebacterium	urealyticum	43771
HMT-854	Ralstonia	pickettii	329
HMT-855	Kytococcus	sedentarius	1276
HMT-856	Sanguibacter	keddieii	60920
HMT-857	Rhodobacter	capsulatus	1061
HMT-858	Comamonas	testosteroni	285
HMT-859	Anaerococcus	lactolyticus	33032
HMT-860	Fusobacterium	gonidiaformans	849
HMT-861	Lactiplantibacillus	plantarum	1590
HMT-862	Bifidobacterium	longum	216816
HMT-863	Capnocytophaga	sp. HMT-863	1227265
HMT-865	Kluyvera	ascorbata	51288
HMT-866	Actinomyces	graevenitzii	55565
HMT-867	Gardnerella	leopoldii	0
HMT-868	Gardnerella	swidsinskii	0
HMT-869	Saccharimonas	sp. HMT-869	1540868
HMT-870	Nanogingivalis	gingivitcus	1540867
HMT-871	Patescibacteria [C1 O1 F1 G1]	bacterium HMT-871	1226338
HMT-872	Patescibacteria [C1 O1 F1 G1]	bacterium HMT-872	1226339
HMT-873	Patescibacteria [C1 O1 F1 G2]	bacterium HMT-873	1226340
HMT-874	Absconditicoccaceae [G1]	bacterium HMT-874	221235
HMT-875	Absconditicoccaceae [G1]	bacterium HMT-875	221235
HMT-876	Clostridiales [F3 G1]	bacterium HMT-876	186802
HMT-878	Capnocytophaga	sp. HMT-878	1316596
HMT-879	Leptotrichia	sp. HMT-879	1227267
HMT-880	Enterococcus	durans	53345
HMT-881	Lentilactobacillus	buchneri	1581
HMT-882	Limosilactobacillus	panis	47493
HMT-883	Lactiplantibacillus	pentosus	1589
HMT-884	Lentilactobacillus	rapi	481723
HMT-885	Prevotella	scopos	589437
HMT-887	Veillonella	denticariosi	419208
HMT-888	Actinomyces	dentalis	272548
HMT-889	Bifidobacterium	breve	1685
HMT-890	Bifidobacterium	subtile	77635
HMT-891	Bifidobacterium	scardovii	158787
HMT-892	Selenomonas	sp. HMT-892	1321785
HMT-893	Actinomyces	oris	544580
HMT-894	Ottowia	sp. HMT-894	1658672
HMT-895	Bifidobacterium	animalis	28025
HMT-896	Actinomyces	sp. HMT-896	1654
HMT-897	Actinomyces	sp. HMT-897	2081702
HMT-898	Aggregatibacter	sp. HMT-898	416916
HMT-899	Odoribacteraceae [G3]	bacterium HMT-899	200643
HMT-900	Weeksellaceae [G1]	bacterium HMT-900	2762318
HMT-901	Capnocytophaga	sp. HMT-901	1016
HMT-904	Erysipelotrichaceae [G1]	bacterium HMT-904	128827
HMT-905	Erysipelotrichaceae [G1]	bacterium HMT-905	128827
HMT-906	Mollicutes [O2 F2 G2]	bacterium HMT-906	31969
HMT-907	Weeksellaceae [G1]	bacterium HMT-907	2762318
HMT-909	Leptotrichia	sp. HMT-909	32067
HMT-910	Stomatobaculum	sp. HMT-910	1213720
HMT-911	Odoribacteraceae [G7]	bacterium HMT-911	200643
HMT-912	Alloprevotella	sp. HMT-912	1283313
HMT-913	Alloprevotella	sp. HMT-913	1283313
HMT-914	Alloprevotella	sp. HMT-914	1283313
HMT-915	Propionibacteriaceae [G1]	bacterium HMT-915	31957
HMT-916	Tannerella	sp. HMT-916	195950
HMT-917	Veillonella	sp. HMT-917	29465
HMT-918	Selenomonadaceae [G1]	bacterium HMT-918	1843491
HMT-919	Selenomonas	sp. HMT-919	970
HMT-920	Selenomonas	sp. HMT-920	1884263
HMT-921	Paenibacillus	glucanolyticus	59843
HMT-922	Peptoanaerobacter	sp. HMT-922	186804
HMT-924	Lachnocurva	vaginae	186803
HMT-927	Treponema	sp. HMT-927	157
HMT-928	Gemella	massiliensis	1785995
HMT-929	Peptoniphilaceae [G3]	bacterium HMT-929	1570339
HMT-930	Porphyromonas	sp. HMT-930	836
HMT-931	Weeksellaceae [G1]	bacterium HMT-931	2762318
HMT-932	Kingella	sp. HMT-932	32257
HMT-933	Pedobacter	sp. HMT-933	84567
HMT-934	Oribacterium	parvum	1501329
HMT-935	Fastidiosipila	sanguinis	236753
HMT-936	Selenomonas	sp. HMT-936	970
HMT-937	Selenomonas	sp. HMT-937	970
HMT-939	Olsenella	sp. HMT-939	133925
HMT-942	Hoylesella	sp. HMT-942	838
HMT-943	Prevotella	aurantiaca	596085
HMT-944	Haemophilus	sputorum	1078480
HMT-945	Haemophilus	parahaemolyticus	735
HMT-946	Haemophilus	pittmaniae	249188
HMT-948	Streptococcus	lactarius	684066
HMT-949	Aggregatibacter	sp. HMT-949	416916
HMT-950	Anaerovoracaceae [G3]	bacterium HMT-950	186804
HMT-951	Treponema	sp. HMT-951	157
HMT-952	Nanosynbacter	lyticus	1895827
HMT-953	Fusobacterium	hwasookii	1583098
HMT-954	Saccharimonadales [F4 G1]	bacterium HMT-954	1895827
HMT-955	Saccharimonas	sicarius	1895827
HMT-956	Neisseria	cinerea	483
HMT-957	Nanosynbacter	featherlites	1895827
HMT-960	Agathobacter	rectalis	0
HMT-961	Faecalibacterium	prausnitzii	0
HMT-962	Hominimerdicola	aceti	0
HMT-963	Akkermansia	muciniphila	0
HMT-964	Alistipes	onderdonkii	0
HMT-965	Alistipes	putredinis	0
HMT-966	Alistipes	shahii	0
HMT-967	Bacteroides	caccae	0
HMT-968	Bacteroides	ovatus	0
HMT-969	Bacteroides	stercoris	0
HMT-970	Bacteroides	thetaiotaomicron	0
HMT-971	Bacteroides	uniformis	0
HMT-972	Bacteroides	xylanisolvens	0
HMT-973	Parabacteroides	distasonis	0
HMT-974	Parabacteroides	merdae	0
HMT-975	Phocaeicola	dorei	0
HMT-976	Phocaeicola	massiliensis	0
HMT-977	Phocaeicola	plebeius	0
HMT-978	Phocaeicola	vulgatus	0
HMT-979	Prevotella	copri	0
HMT-982	Ignavibacterium	album	591197
HMT-983	Melioribacter	roseus	1134405
HMT-984	Chlorobium	limicola	1092
HMT-986	Saccharimonadales [F2 G1]	bacterium HMT-986	1895827
HMT-988	Saccharimonas	aalborgensis	1332188
HMT-989	Saccharimonadales [F2 G1]	bacterium HMT-989	1895827
HMT-991	Absconditicoccaceae [G2]	bacterium HMT-991	221235
HMT-994	Caldilinea	aerophila	133453
HMT-995	Anaerolinea	thermophila	167964
HMT-998	Victivallis	lenta	255528
HMT-999	Eremiobacterota [C1 O1 F1 G1]	bacterium HMT-999	1955638
