HMT-608_16S000065	HMT-608	Limosilactobacillus fermentum 1613
HMT-051_16S000066	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000067	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000068	HMT-051	Limosilactobacillus vaginalis 1633
HMT-818_16S000069	HMT-818	Limosilactobacillus reuteri 1598
HMT-816_16S000070	HMT-816	Limosilactobacillus coleohominis 181675
HMT-709_16S000071	HMT-709	Limosilactobacillus oris 1632
HMT-051_16S000072	HMT-051	Limosilactobacillus vaginalis 1633
HMT-709_16S000073	HMT-709	Limosilactobacillus oris 1632
HMT-608_16S000074	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000075	HMT-608	Limosilactobacillus fermentum 1613
HMT-709_16S000076	HMT-709	Limosilactobacillus oris 1632
HMT-051_16S000077	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000078	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000079	HMT-051	Limosilactobacillus vaginalis 1633
HMT-608_16S000080	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000081	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000082	HMT-608	Limosilactobacillus fermentum 1613
HMT-818_16S000083	HMT-818	Limosilactobacillus reuteri 1598
HMT-051_16S000084	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000085	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000086	HMT-051	Limosilactobacillus vaginalis 1633
HMT-608_16S000087	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000088	HMT-608	Limosilactobacillus fermentum 1613
HMT-051_16S000089	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000090	HMT-051	Limosilactobacillus vaginalis 1633
HMT-608_16S000091	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000092	HMT-608	Limosilactobacillus fermentum 1613
HMT-051_16S000093	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000094	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000095	HMT-051	Limosilactobacillus vaginalis 1633
HMT-176_16S000096	HMT-176	Actinomyces naeslundii 1655
HMT-051_16S000097	HMT-051	Limosilactobacillus vaginalis 1633
HMT-051_16S000098	HMT-051	Limosilactobacillus vaginalis 1633
HMT-709_16S000099	HMT-709	Limosilactobacillus oris 1632
HMT-608_16S000100	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000101	HMT-608	Limosilactobacillus fermentum 1613
HMT-608_16S000102	HMT-608	Limosilactobacillus fermentum 1613
HMT-881_16S000103	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000104	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000105	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000106	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000107	HMT-881	Lentilactobacillus buchneri 1581
HMT-884_16S000108	HMT-884	Lentilactobacillus rapi 481723
HMT-881_16S000109	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000110	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000111	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000112	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000113	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000114	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000115	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000116	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000117	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000118	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000119	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000120	HMT-881	Lentilactobacillus buchneri 1581
HMT-881_16S000121	HMT-881	Lentilactobacillus buchneri 1581
